"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"C25,C19";"C_0805_2012Metric";2;"22uF";;;
2;"D4,D8";"TSOT-23-5";2;"NCP551SN";;;
3;"U2";"SOT-23-5";1;"LM2733YMF";;;
4;"J14";"SMD-CONN";1;"PowSW2";;;
5;"L6,L2,L4,L5";"L_0805_2012Metric";4;"10uH";;;
6;"U4";"SOT-23-5";1;"LP2985-3.3";;;
7;"Q1";"SOT-23";1;"IRLML5203";;;
8;"J2";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_B_Micro";;;
9;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
10;"R14";"R_0805_2012Metric";1;"12k";;;
11;"J4";"SMD-CONN";1;"SWCLK";;;
12;"J3";"SMD-CONN";1;"SWDIO";;;
13;"C15";"C_0805_2012Metric";1;"470pF";;;
14;"R9";"R_0805_2012Metric";1;"13k";;;
15;"U3";"TSOT-23-5";1;"LTC4054ES5-4.2";;;
16;"C13,C7,C11,C12,C18,C20";"C_0805_2012Metric";6;"10uF";;;
17;"C16";"C_0805_2012Metric";1;"10nF";;;
18;"D3,D6";"LED_0805_2012Metric";2;"LED";;;
19;"R10,R2,R15";"R_0805_2012Metric";3;"1k";;;
20;"R11";"R_0805_2012Metric";1;"100k";;;
21;"R12";"R_0805_2012Metric";1;"2.2k";;;
22;"C5,C3,C4,C17";"C_1210_3225Metric";4;"10nF";;;
23;"C6";"C_0805_2012Metric";1;"82pF";;;
24;"C10";"C_1210_3225Metric";1;"4.7uFx50v";;;
25;"D1,D2";"D_SOD-123";2;"MBR0520LT";;;
26;"R1";"R_0805_2012Metric";1;"100";;;
27;"R3";"R_0805_2012Metric";1;"1R";;;
28;"R5";"R_0805_2012Metric";1;"300k";;;
29;"R6";"R_0805_2012Metric";1;"20k";;;
30;"R7";"R_0805_2012Metric";1;"10k";;;
31;"R13";"R_0805_2012Metric";1;"200";;;
32;"J1";"SMD-CONN";1;"SiPM Catode(3)";;;
33;"J9";"SMD-CONN";1;"SiPM Anode(1)";;;
34;"J10";"SMD-CONN";1;"B+";;;
35;"J11";"SMD-CONN";1;"B-";;;
36;"J13";"SMD-CONN";1;"PowSW1";;;
37;"C14,C21,C24,C26";"C_0805_2012Metric";4;"0.1uF";;;
38;"J8";"SMD-CONN";1;"nRST";;;
39;"J18";"SMD-CONN";1;"I2C-SCL";;;
40;"J19";"SMD-CONN";1;"I2C-SDA";;;
41;"J20";"SMD-CONN";1;"UART-TX";;;
42;"J21";"SMD-CONN";1;"UART-RX";;;
43;"J5";"SMD-CONN";1;"BT-status";;;
44;"R16";"R_0805_2012Metric";1;"4.7k";;;
45;"D5";"SOT-23-6";1;"TLV3501";;;
46;"C1,C2";"C_1210_3225Metric";2;"1nF";;;
47;"C8";"C_1210_3225Metric";1;"22uF";;;
48;"C9";"C_1210_3225Metric";1;"10uF";;;
49;"J6";"SMD-CONN";1;"Display";;;
50;"L3,L1";"L_1210_3225Metric";2;"10uH";;;
51;"C22";"CP_EIA-7343-15_Kemet-W";1;"1000uF";;;
